player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,xgot,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,chances_created,final_third_passes,accurate_crosses,accurate_long_balls,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,offsides,high_claim,tackles,accurate_passes_percent,accurate_crosses_percent,accurate_long_balls_percent,ground_duels_won_percent,aerial_duels_won_percent,successful_dribbles_percent,tackles_won_percent,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
38,24-25-prem-aston-villa-vs-southampton,58,1,0,3,0.65,0.01,0.48,2,0,1,5,21,11,0,2,0,1,2,0,1,0,0,0,0,3,2,2,1,0,1,0,0,0.0,0.0,0,0,0,0,0,2,79,0,50,50,100,0,100,0,58,0,0,0
42,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.02,0.0,0,0,0,1,58,41,1,3,0,2,1,4,6,1,0,0,0,4,7,4,0,2,5,0,0,0.0,0.0,0,0,0,0,0,2,91,0,100,40,0,0,50,0,96,0,0,0
466,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.0,0.0,0,0,0,0,49,21,0,5,0,3,0,0,7,0,3,0,0,3,0,1,2,0,0,3,1,1.59,0.59,3,21,3,0,1,0,62,0,21,100,100,0,0,0,96,1,0,0
44,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.01,0.0,0,2,0,1,66,42,0,9,0,1,1,0,4,1,2,2,0,4,1,4,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,89,0,100,100,0,100,50,0,96,0,0,0
45,24-25-prem-aston-villa-vs-southampton,59,0,0,1,0.01,0.12,0.0,0,0,0,2,47,24,1,3,0,0,3,2,5,0,1,0,0,6,5,6,0,1,1,0,0,0.0,0.0,0,0,0,0,0,5,86,0,0,60,0,0,60,0,58,0,0,0
36,24-25-prem-aston-villa-vs-southampton,31,0,0,0,0.0,0.21,0.0,0,0,0,0,30,11,2,3,3,0,1,2,3,0,2,1,0,2,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,85,30,0,100,0,0,50,58,96,0,0,0
52,24-25-prem-aston-villa-vs-southampton,90,0,0,1,0.04,0.04,0.0,0,1,0,2,55,46,0,4,0,4,0,0,2,0,1,0,0,5,1,3,2,0,1,0,0,0.0,0.0,0,0,0,0,0,2,94,0,80,75,100,100,0,0,96,0,0,0
54,24-25-prem-aston-villa-vs-southampton,90,0,0,3,0.16,0.56,0.0,0,1,0,4,45,22,4,5,0,2,1,0,3,0,1,1,1,5,9,4,1,1,2,0,0,0.0,0.0,0,0,0,0,0,2,79,0,100,36,33,25,50,0,96,0,0,0
57,24-25-prem-aston-villa-vs-southampton,59,0,0,0,0.0,0.12,0.0,0,0,0,0,51,35,2,5,1,0,2,0,5,0,0,0,2,5,4,5,0,1,1,0,0,0.0,0.0,0,0,0,0,0,4,90,50,0,56,0,0,50,0,59,0,0,0
35,24-25-prem-aston-villa-vs-southampton,90,0,0,1,0.13,0.01,0.0,0,0,0,2,58,43,0,4,0,5,1,0,1,2,2,2,0,5,1,1,4,0,0,0,0,0.0,0.0,0,0,0,0,0,1,84,0,56,100,80,0,100,0,96,0,0,0
48,24-25-prem-aston-villa-vs-southampton,90,0,0,3,0.42,0.07,1.11,2,0,1,5,44,22,2,4,2,1,1,0,3,0,0,0,1,5,5,5,0,4,3,0,0,0.0,0.0,0,0,0,0,0,1,85,50,100,50,0,0,100,0,96,0,0,0
477,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.01,0.0,0,0,0,0,87,71,0,3,0,2,0,1,1,3,5,0,0,2,1,2,0,1,1,0,0,0.0,0.0,0,0,0,0,0,1,96,0,67,67,0,0,0,0,96,1,0,0
47,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.0,0.0,0,0,0,0,28,17,0,2,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,17,2,0,0,0,77,0,33,0,0,0,0,0,96,0,0,0
476,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.07,0.0,0,1,0,3,68,52,1,2,1,1,0,1,3,1,0,0,0,4,3,4,0,3,2,0,0,0.0,0.0,0,0,0,0,0,0,100,50,100,57,0,100,0,0,96,1,0,0
29,24-25-prem-aston-villa-vs-southampton,31,0,0,1,0.46,0.07,0.0,1,0,1,4,20,14,2,3,0,0,0,0,3,0,0,0,0,2,2,2,0,0,2,0,0,0.0,0.0,0,0,0,0,0,2,88,0,0,50,0,0,0,59,96,0,0,0
28,24-25-prem-aston-villa-vs-southampton,59,0,0,0,0.0,0.2,0.0,0,0,0,3,28,17,0,0,0,0,0,0,2,0,0,0,0,3,2,3,0,3,0,0,0,0.0,0.0,0,0,0,0,0,0,100,0,0,75,0,0,0,0,59,0,0,0
457,24-25-prem-aston-villa-vs-southampton,45,0,0,0,0.0,0.01,0.0,0,0,0,0,45,30,0,1,0,1,1,1,3,0,1,0,0,4,2,4,0,1,0,0,0,0.0,0.0,0,0,0,0,0,3,94,0,50,80,0,0,33,0,46,1,0,0
58,24-25-prem-aston-villa-vs-southampton,32,0,0,4,0.37,0.41,0.0,0,0,1,8,16,4,1,0,0,0,1,0,1,0,0,0,0,5,2,4,1,3,1,0,0,0.0,0.0,0,0,0,0,0,1,57,0,0,80,50,0,100,58,96,0,0,0
518,24-25-prem-aston-villa-vs-southampton,79,0,0,0,0.0,0.01,0.0,0,0,0,1,53,36,0,4,0,1,0,3,5,0,1,1,0,5,6,4,1,2,4,0,0,0.0,0.0,0,0,0,0,0,2,90,0,100,44,50,0,0,0,79,1,0,0
467,24-25-prem-aston-villa-vs-southampton,89,0,0,1,0.07,0.02,0.0,0,0,0,3,60,37,0,2,0,0,1,2,6,0,0,0,1,3,6,3,0,1,1,0,0,0.0,0.0,0,0,0,0,0,2,97,0,0,43,0,0,50,0,92,1,0,0
452,24-25-prem-aston-villa-vs-southampton,45,0,0,0,0.0,0.02,0.0,0,0,0,5,37,19,0,1,0,1,1,1,5,0,0,0,0,7,4,6,1,4,0,0,0,0.0,0.0,0,0,0,0,0,2,86,0,100,67,50,0,50,46,96,0,0,0
608,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.03,0.0,0,1,0,2,53,28,1,1,0,1,1,0,8,1,0,0,1,5,8,5,0,2,1,0,0,0.0,0.0,0,0,0,0,0,2,82,0,100,38,0,25,50,0,96,1,0,0
569,24-25-prem-aston-villa-vs-southampton,31,0,0,1,0.04,0.08,0.0,0,1,0,3,30,14,0,1,0,0,1,0,6,0,0,0,0,2,4,2,0,0,1,0,0,0.0,0.0,0,0,0,0,0,1,74,0,0,33,0,33,100,59,96,0,0,0
623,24-25-prem-aston-villa-vs-southampton,90,0,0,1,0.07,0.07,0.0,0,1,0,2,53,30,0,3,1,0,0,1,4,0,1,0,1,3,6,3,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,86,33,0,33,0,25,0,0,96,1,0,0
