player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches
6,25-26-prem-arsenal-vs-aston-villa,Saliba,6.7,6,0,40,3,0,0,0,1,0,0,0
8,25-26-prem-arsenal-vs-aston-villa,J.Timber,6.9,7,2,21,0,1,0,1,1,0,0,0
10,25-26-prem-arsenal-vs-aston-villa,Lewis-Skelly,6.3,1,0,6,1,0,0,0,0,0,0,0
16,25-26-prem-arsenal-vs-aston-villa,Saka,6.6,5,0,15,1,1,2,4,1,0,0,0
17,25-26-prem-arsenal-vs-aston-villa,Ødegaard,8.3,10,1,48,5,2,1,5,1,0,0,0
18,25-26-prem-arsenal-vs-aston-villa,Madueke,6.7,2,0,3,0,1,0,0,0,0,0,0
20,25-26-prem-arsenal-vs-aston-villa,Trossard,8.9,7,1,28,3,5,0,4,0,0,0,0
24,25-26-prem-arsenal-vs-aston-villa,Nørgaard,6.6,0,0,11,0,0,0,1,0,0,0,0
37,25-26-prem-arsenal-vs-aston-villa,Digne,5.6,13,0,27,1,5,1,0,1,0,0,0
42,25-26-prem-arsenal-vs-aston-villa,A.García,5.9,4,0,16,0,3,1,2,0,0,0,0
44,25-26-prem-arsenal-vs-aston-villa,Bogarde,5.7,10,0,52,2,0,1,2,1,1,0,0
47,25-26-prem-arsenal-vs-aston-villa,Rogers,6.6,8,2,20,1,0,1,0,1,1,0,0
48,25-26-prem-arsenal-vs-aston-villa,Tielemans,6.7,9,0,35,1,1,1,3,0,0,0,0
53,25-26-prem-arsenal-vs-aston-villa,Malen,6.5,5,1,4,0,1,1,3,1,0,0,0
54,25-26-prem-arsenal-vs-aston-villa,McGinn,6.4,4,0,14,2,1,1,2,0,0,0,0
59,25-26-prem-arsenal-vs-aston-villa,Onana,7.1,2,0,14,2,0,2,3,0,0,0,0
64,25-26-prem-arsenal-vs-aston-villa,Watkins,6.7,12,1,14,0,0,2,5,0,1,0,0
456,25-26-prem-arsenal-vs-aston-villa,Sancho,6.1,6,0,12,0,1,1,4,0,0,0,0
666,25-26-prem-arsenal-vs-aston-villa,Gyökeres,5.8,6,1,5,0,0,2,5,1,0,0,0
719,25-26-prem-arsenal-vs-aston-villa,Lindelöf,6.1,3,0,54,4,0,0,0,2,0,0,0
725,25-26-prem-arsenal-vs-aston-villa,Hincapie,7.7,6,0,36,2,2,1,4,0,0,0,0
754,25-26-prem-arsenal-vs-aston-villa,George Hemmings,6.6,0,0,8,0,0,0,0,0,0,0,0
27,25-26-prem-brentford-vs-tottenham-hotspur,Nelson,6.5,3,0,7,0,1,1,2,0,0,0,0
101,25-26-prem-brentford-vs-tottenham-hotspur,Kelleher,8.1,15,0,41,20,0,0,0,0,0,0,0
106,25-26-prem-brentford-vs-tottenham-hotspur,Collins,7.8,16,0,72,12,0,0,0,3,0,0,0
107,25-26-prem-brentford-vs-tottenham-hotspur,Lewis-Potter,7.0,16,2,26,6,3,3,5,1,0,0,0
108,25-26-prem-brentford-vs-tottenham-hotspur,Ajer,7.4,8,0,65,4,0,0,2,2,0,0,0
109,25-26-prem-brentford-vs-tottenham-hotspur,Henry,6.7,13,0,28,0,4,1,2,1,0,0,0
110,25-26-prem-brentford-vs-tottenham-hotspur,Kayode,7.3,17,0,48,1,2,2,6,0,0,0,0
120,25-26-prem-brentford-vs-tottenham-hotspur,Schade,6.7,12,0,23,0,0,0,2,1,0,0,0
124,25-26-prem-brentford-vs-tottenham-hotspur,Henderson,8.0,19,0,68,9,5,2,1,3,1,0,0
125,25-26-prem-brentford-vs-tottenham-hotspur,Janelt,7.3,5,0,52,3,2,1,3,2,0,0,0
126,25-26-prem-brentford-vs-tottenham-hotspur,Jensen,6.7,2,0,12,0,2,0,0,0,0,0,0
129,25-26-prem-brentford-vs-tottenham-hotspur,Yarmoliuk,6.8,9,0,48,3,1,0,8,1,0,0,0
565,25-26-prem-brentford-vs-tottenham-hotspur,Vicario,6.9,16,0,31,24,0,0,0,0,1,0,2
569,25-26-prem-brentford-vs-tottenham-hotspur,Romero,7.4,11,1,45,4,0,0,5,1,0,0,0
573,25-26-prem-brentford-vs-tottenham-hotspur,Spence,6.8,18,0,39,2,3,5,6,0,0,0,0
575,25-26-prem-brentford-vs-tottenham-hotspur,Van de Ven,7.1,7,0,48,7,0,0,0,0,0,0,0
582,25-26-prem-brentford-vs-tottenham-hotspur,Kudus,6.2,18,1,27,4,1,6,10,0,0,0,0
584,25-26-prem-brentford-vs-tottenham-hotspur,Tel,6.4,0,0,3,0,0,0,0,1,0,0,0
585,25-26-prem-brentford-vs-tottenham-hotspur,Bentancur,7.1,8,0,60,3,1,3,0,2,0,0,0
588,25-26-prem-brentford-vs-tottenham-hotspur,Odobert,6.8,12,1,18,0,1,2,1,1,0,0,0
591,25-26-prem-brentford-vs-tottenham-hotspur,Gray,6.4,9,1,21,0,0,1,1,3,0,0,0
726,25-26-prem-brentford-vs-tottenham-hotspur,Kolo Muani,6.5,3,0,7,1,0,0,3,1,0,0,0
52,25-26-prem-burnley-vs-newcastle-united,J.Ramsey,6.5,3,0,9,0,0,0,1,0,0,0,0
135,25-26-prem-burnley-vs-newcastle-united,Wissa,7.2,5,0,12,0,0,1,1,5,0,0,0
187,25-26-prem-burnley-vs-newcastle-united,Walker,7.5,23,0,43,8,2,1,1,0,1,0,0
190,25-26-prem-burnley-vs-newcastle-united,Ekdal,6.6,9,0,41,4,0,0,0,1,0,0,0
191,25-26-prem-burnley-vs-newcastle-united,Estève,5.9,2,0,7,1,0,0,0,1,0,0,0
193,25-26-prem-burnley-vs-newcastle-united,Humphreys,7.9,8,0,62,8,1,0,2,1,0,0,0
202,25-26-prem-burnley-vs-newcastle-united,Bruun Larsen,6.5,2,0,3,0,0,1,1,0,0,0,0
206,25-26-prem-burnley-vs-newcastle-united,Edwards,6.3,15,0,24,0,2,5,7,1,0,0,0
209,25-26-prem-burnley-vs-newcastle-united,Laurent,7.1,17,0,40,5,0,2,5,0,0,0,0
210,25-26-prem-burnley-vs-newcastle-united,Tchaouna,6.5,10,0,27,1,1,0,1,1,0,0,0
