player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,xgot,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,chances_created,final_third_passes,accurate_crosses,accurate_long_balls,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,offsides,high_claim,tackles,accurate_passes_percent,accurate_crosses_percent,accurate_long_balls_percent,ground_duels_won_percent,aerial_duels_won_percent,successful_dribbles_percent,tackles_won_percent,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
554,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0.0,0,0,0,0,56,26,0,3,0,6,0,0,8,0,4,0,0,0,0,0,0,0,0,3,0,0.33,0.33,2,26,6,0,3,0,62,0,29,0,0,0,0,0,97,0,0,0
770,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,1,2,0.66,0.01,0.0,0,0,1,3,49,18,1,2,0,0,3,1,4,0,4,2,3,11,6,6,5,1,1,0,0,0.0,0.0,0,0,0,0,0,5,69,0,0,67,63,0,60,0,97,0,0,0
541,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,89,1,0,3,0.71,0.24,0.75,2,1,0,3,64,28,4,4,1,0,1,0,2,0,0,0,1,5,11,4,1,2,2,0,0,0.0,0.0,0,0,0,0,0,1,78,13,0,31,33,50,100,0,89,0,0,0
567,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,1,0.04,0.0,0.0,0,1,0,1,82,54,0,4,0,0,2,4,5,1,4,2,0,6,0,5,1,0,0,0,0,0.0,0.0,0,0,0,0,0,4,83,0,0,100,100,100,50,0,97,0,0,0
559,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,2,0.17,0.1,0.1,1,1,0,1,54,21,0,6,1,1,0,1,5,0,2,2,0,7,2,5,2,2,1,0,0,0.0,0.0,0,0,0,0,0,2,72,100,14,71,100,50,0,0,97,0,0,0
64,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.01,0.0,0,2,0,0,55,33,0,7,0,3,0,4,12,0,2,1,0,6,2,4,2,1,0,0,0,0.0,0.0,0,0,0,0,0,1,80,0,60,80,67,67,0,0,97,1,0,0
535,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,80,0,0,1,0.17,0.28,0.38,1,1,1,2,54,30,2,5,0,1,2,0,6,0,0,0,0,10,5,9,1,4,1,0,0,0.0,0.0,0,0,0,0,0,4,81,0,33,82,25,100,50,0,80,0,0,0
152,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0.0,0,1,0,0,43,20,0,4,0,3,0,0,6,0,2,0,0,1,0,1,0,0,0,5,1,1.35,0.35,2,20,3,0,0,0,59,0,18,100,0,100,0,0,97,1,0,0
564,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,73,0,0,0,0.0,0.0,0.0,0,0,0,0,51,36,0,1,0,1,2,1,3,0,7,3,0,6,1,4,2,1,1,0,0,0.0,0.0,0,0,0,0,0,3,95,0,33,80,100,0,67,0,73,0,0,0
533,24-25-prem-afc-bournemouth-vs-wolverhampton-wanderers,80,0,0,1,0.11,0.01,0.0,0,3,0,1,56,24,1,3,0,0,1,0,3,0,3,2,4,9,7,9,0,2,0,0,0,0.0,0.0,0,0,0,0,0,4,83,0,0,64,0,100,25,0,80,0,0,0
