match_id,minute,value
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,1.0,-9
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,2.0,-5
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,3.0,-5
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,4.0,8
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,5.0,2
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,6.0,-3
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,7.0,8
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,8.0,-17
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,9.0,-5
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,10.0,50
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,11.0,59
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,12.0,23
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,13.0,18
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,14.0,50
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,15.0,-29
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,16.0,7
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,17.0,55
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,18.0,52
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,19.0,45
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,20.0,25
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,21.0,52
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,22.0,52
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,23.0,28
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,24.0,10
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,25.0,-11
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,26.0,-4
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,27.0,-46
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,28.0,-96
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,29.0,-51
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,30.0,-52
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,31.0,-62
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,32.0,-41
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,33.0,-8
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,34.0,-33
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,35.0,-17
