match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,1,90,,False,,,miss,set-piece,head,0.11,,6.8,45.9,51.6,56.9,close-high
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,2,82,,True,,,goal,regular,right-foot,0.187,,10.0,45.8,45.7,7.6,low-right
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,3,71,,True,209.0,,miss,assisted,left-foot,0.066,,9.0,69.8,58.0,91.7,high-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,4,67,,True,209.0,,miss,assisted,head,0.048,,10.7,60.0,59.0,8.3,close-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,5,59,,True,,,goal,penalty,right-foot,0.79,,11.5,50.0,54.1,5.1,low-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,6,56,,True,,,goal,regular,right-foot,0.058,,15.1,65.3,49.0,14.6,low-centre
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,7,55,,False,,,save,assisted,right-foot,0.06,,18.2,54.2,52.0,20.9,high-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,8,50,,False,,,block,assisted,left-foot,0.038,,17.8,28.9,50.4,19.0,low-centre
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,9,43,,False,,,miss,assisted,head,0.691,,2.0,45.9,59.2,38.9,close-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,10,42,,False,,,miss,set-piece,head,0.067,,8.4,54.8,59.0,23.6,close-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,11,40,,False,,,save,assisted,left-foot,0.087,,10.9,64.3,46.6,1.9,low-right
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,12,33,,False,,,goal,assisted,left-foot,0.122,,12.7,53.6,53.8,15.2,low-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,13,31,,False,,,miss,free-kick,right-foot,0.066,,21.4,37.0,43.2,48.6,close-high-right
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,14,28,,False,,,miss,set-piece,right-foot,0.031,,19.7,57.3,46.9,61.1,high
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,15,28,,False,,,post,penalty,right-foot,0.79,,11.5,50.0,44.9,1.3,right
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,16,27,,False,,,miss,assisted,left-foot,0.098,,12.0,39.1,47.4,70.8,high
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,17,21,,True,224.0,,goal,assisted,left-foot,0.264,,8.4,46.6,49.8,2.5,low-centre
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,18,20,,True,216.0,,miss,assisted,left-foot,0.054,,13.3,30.8,38.3,12.5,right
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,19,19,,True,224.0,,miss,corner,head,0.026,,9.0,36.1,58.8,18.1,close-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,20,18,,True,216.0,,block,free-kick,left-foot,0.077,,21.4,46.3,49.5,19.0,low-centre
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,21,17,,True,219.0,,save,assisted,left-foot,0.148,,8.1,61.2,47.9,9.5,low-right
